"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-"
"*06ab3*","Lewis Miley","NEW","M","219","FA","NEW 0<br/>@FUL 2 F","155.5","6.76","31%","-8%"
"*06y59*","Noah Sadiki","SUN","M","221","FA","CHE 1<br/>@SUN 2 F","155","4.7","9%","-4%"
"*057cr*","Kevin Danso","TOT","D","220","FA","EVE 0<br/>@TOT 1 F","155","6.46","3%","0%"
"*04o82*","Curtis Jones","LIV","M","222","FA","BRF 1<br/>@LIV 1 F","154.25","4.54","5%","-1%"
"*05tre*","Vitaly Janelt","BRF","M","223","FA","BRF 1<br/>@LIV 1 F","154","6.16","9%","-5%"
"*05w7t*","Pape Sarr","TOT","M","224","FA","EVE 0<br/>@TOT 1 F","153.25","5.89","6%","+1%"
"*02lp9*","Kyle Walker","BUR","D","225","FA","WOL 1<br/>@BUR 1 F","151.5","4.21","0%","0%"
"*04tzt*","Jefferson Lerma","CRY","M","226","FA","ARS 2<br/>@CRY 1 F","151.25","4.88","3%","0%"
"*070hk*","Samuel Chukwueze","FUL","F","227","FA","NEW 0<br/>@FUL 2 F","149.5","6.5","100%","0%"
"*072jf*","Valentin Castellanos","WHU","F","228","FA","LEE 0<br/>@WHU 3 F","149.25","8.29","0%","0%"
"*04sat*","Emile Smith Rowe","FUL","M","229","FA","NEW 0<br/>@FUL 2 F","146.5","3.96","12%","-1%"
"*03rxa*","Idrissa Gueye","EVE","M","230","FA","EVE 0<br/>@TOT 1 F","146","5.84","9%","-3%"
"*070hj*","Kevin","FUL","F","231","FA","NEW 0<br/>@FUL 2 F","144.5","5.56","54%","-2%"
"*0666p*","Kobbie Mainoo","MUN","M","232","FA","MUN 3<br/>@BHA 0 F","144.25","5.15","71%","-6%"
"*072wq*","Rayan","BOU","F","233","FA","BOU 1<br/>@NOT 1 F","143.5","9.57","99%","+2%"
"*03r8x*","Callum Wilson","WHU","F","234","FA","LEE 0<br/>@WHU 3 F","142.25","4.45","2%","-1%"
"*0524k*","Rodri","MCI","M","235","FA","AVL 2<br/>@MCI 1 F","141.25","6.73","84%","-5%"
"*04rh9*","David Brooks","BOU","M","236","FA","BOU 1<br/>@NOT 1 F","140.75","4.54","2%","0%"
"*060wh*","Alejandro Garnacho","MUN/CHE","M","237","FA","CHE 1<br/>@SUN 2 F","140","5.83","59%","+5%"
"*03dx3*","Kieran Trippier","NEW","D","238","FA","NEW 0<br/>@FUL 2 F","140","6.67","0%","0%"
"*06mow*","Jorgen Strand Larsen","WOL/CRY","F","239","FA","ARS 2<br/>@CRY 1 F","139","3.86","42%","-11%"
"*06mnc*","Daichi Kamada","CRY","M","240","FA","ARS 2<br/>@CRY 1 F","138.75","4.96","8%","-5%"
"*04ug0*","Sean Longstaff","LEE","M","241","FA","LEE 0<br/>@WHU 3 F","138.75","6.03","3%","-2%"
"*062h7*","Tyler Adams","BOU","M","242","FA","BOU 1<br/>@NOT 1 F","138.5","5.54","21%","-2%"
"*04lnu*","Lukas Nmecha","LEE","F","243","FA","LEE 0<br/>@WHU 3 F","138.25","4.46","8%","-3%"
"*06v05*","Jeremie Frimpong","LIV","D","244","FA","BRF 1<br/>@LIV 1 F","137.75","6.56","97%","+1%"
"*06mx0*","Leny Yoro","MUN","D","245","FA","MUN 3<br/>@BHA 0 F","137.75","4.3","9%","0%"
"*070ci*","Amine Adli","BOU","F","246","FA","BOU 1<br/>@NOT 1 F","136.75","4.41","7%","-2%"
"*05os4*","Rayan Ait-Nouri","MCI","D","247","FA","AVL 2<br/>@MCI 1 F","136.5","8.03","81%","-7%"
"*06pic*","Andre","WOL","M","248","FA","WOL 1<br/>@BUR 1 F","136.5","3.9","0%","0%"
"*04hk9*","Mikel Merino","ARS","M","249","FA","ARS 2<br/>@CRY 1 F","136.25","6.19","23%","-3%"
"*04tig*","Fabian Schar","NEW","D","250","FA","NEW 0<br/>@FUL 2 F","136.25","8.52","8%","-3%"
"*06r9w*","Abdukodir Khusanov","MCI","D","251","FA","AVL 2<br/>@MCI 1 F","136","6.48","27%","0%"
"*061va*","Boubacar Kamara","AVL","M","252","FA","AVL 2<br/>@MCI 1 F","132.5","7.36","31%","-13%"
"*051k3*","Jacob Ramsey","AVL/NEW","M","253","FA","NEW 0<br/>@FUL 2 F","130.5","4.66","16%","-5%"
"*03gu5*","Andrew Robertson","LIV","D","254","FA","BRF 1<br/>@LIV 1 F","129.5","5.4","54%","-1%"
"*02lk5*","Jordan Henderson","BRF","M","255","FA","BRF 1<br/>@LIV 1 F","129.25","4.04","1%","+1%"
